n,e1,e1_pf,e1_n,e2,e2_pf,e2_n,e3,e3_pf,e3_n,e4,e4_pf,e4_n,total,design,oos,win_years,worst_year,ex20,rsi,dev,tov,atr,tp,stop,hold,rsi_exit
2620,-258313.77231377235,0.9581029790619622,593,279826.78841628286,1.0435459763192798,661,-796263.5977063869,0.8759405340102442,670,762044.0405707796,1.1279329823940054,696,-12706.54103309696,21513.016102510504,-34219.55713560735,12,-522598.815768,-1282223.2040430969,35.0,-1.5,2000000000.0,3.0,5.0,3.0,3,50.0
2618,-286318.7723137724,0.9535607654102,593,288226.78841628286,1.044853164252044,661,-795063.5975623867,0.8758935303902683,669,768744.0405427796,1.129118481872788,695,-24411.54091709724,1908.0161025104462,-26319.557019607048,12,-516298.815768,-1293928.2039270974,35.0,-1.5,2000000000.0,3.0,5.0,3.0,3,0.0
2147,248352.15670441644,1.0394367173642278,510,57001.71980886976,1.0081441642961304,565,-1007002.2458976967,0.8419976449316953,524,793105.0100049797,1.1344192870680077,548,91456.64062056883,305353.8765132862,-213897.23589271703,14,-740928.9821179999,-1230876.690189431,35.0,-1.5,2000000000.0,3.0,5.0,3.0,5,50.0
2141,291452.1567044165,1.0466070987625364,508,84351.71980886965,1.0120518164555046,566,-939132.2458976968,0.8524463193920065,523,998895.5099909795,1.1718527180466767,544,435567.1406065696,375803.87651328614,59763.26409328263,14,-734628.9821179999,-900866.1902034304,35.0,-1.5,2000000000.0,3.0,5.0,3.0,5,0.0
3093,-648758.4624940514,0.8837474476242259,676,171487.0285256901,1.027997912105146,761,-242849.17168198712,0.9603893293837493,813,207410.9214724996,1.0349814098174217,843,-512709.6841778489,-477271.43396836135,-35438.25020948751,12,-518763.29262151977,-1649051.3485548487,35.0,-1.5,2000000000.0,3.0,5.0,4.0,2,50.0
3092,-648758.4624940514,0.8837474476242259,676,171487.0285256901,1.027997912105146,761,-221649.17168198712,0.9637988028071375,812,207410.9214724996,1.0349814098174217,843,-491509.68417784874,-477271.43396836135,-14238.250209487509,12,-518763.29262151977,-1627851.3485548485,35.0,-1.5,2000000000.0,3.0,5.0,4.0,2,0.0
2544,-298978.8920241453,0.9513162750347514,572,754097.2073992629,1.1241465115981546,639,-798648.3659422155,0.8765816116714402,656,1176597.2960357994,1.2066214772167982,677,833067.2454687016,455118.31537511764,377948.9300935839,14,-658378.9085033687,-425432.7520492986,35.0,-1.5,2000000000.0,3.0,5.0,4.0,3,50.0
2541,-327978.8920241452,0.9466028036587928,572,762497.2073992629,1.125529397898743,639,-812648.3659422153,0.8742257140981622,655,1164597.2960077995,1.204614775449365,675,786467.2454407014,434518.3153751177,351948.93006558414,14,-658378.9085033687,-472032.7520772988,35.0,-1.5,2000000000.0,3.0,5.0,4.0,3,0.0
2036,-21429.508608052798,0.9966335085082134,485,171300.1309578754,1.025118669373828,532,-1269456.0221305522,0.8028975352960682,497,1193717.4342052196,1.214758184706067,522,74132.03442448971,149870.6223498226,-75738.5879253326,14,-795422.4587915249,-1236551.2963375105,35.0,-1.5,2000000000.0,3.0,5.0,4.0,5,50.0
2029,27840.491391947202,1.0044061785942733,483,171150.13095787528,1.0250981461694837,531,-1177713.0221305524,0.8161527231846869,496,1347535.9341912195,1.2443454768816682,519,368813.5344104895,198990.6223498225,169822.91206066706,14,-789122.4587915249,-958569.7963515106,35.0,-1.5,2000000000.0,3.0,5.0,4.0,5,0.0
3219,-678467.0498111588,0.88598603234058,713,-474442.2928863465,0.9241077039681158,789,-73988.56450402495,0.9877475922199302,841,598083.5549616602,1.1060526612231583,876,-628814.3522398702,-1152909.3426975054,524094.99045763526,12,-511271.7502170397,-2096347.68267987,35.0,-1.5,2000000000.0,3.0,0.0,2.0,2,50.0
3218,-678467.0498111588,0.88598603234058,713,-474442.2928863465,0.9241077039681158,789,-57788.56450402501,0.9904172781876993,840,598083.5549616602,1.1060526612231583,876,-612614.3522398702,-1152909.3426975054,540294.9904576351,12,-511271.7502170397,-2080147.68267987,35.0,-1.5,2000000000.0,3.0,0.0,2.0,2,0.0
2773,-356953.1108937245,0.9417847657762508,634,91812.04087185982,1.0141621171786073,705,-774063.3415557197,0.8778789506723229,701,847743.5637532396,1.1483064852570006,733,-191460.84782434482,-265141.07002186467,73680.22219751985,10,-519749.8328372,-1879437.5114543445,35.0,-1.5,2000000000.0,3.0,0.0,2.0,3,50.0
2769,-386280.2028364444,0.9366854443824144,632,14156.707916860178,1.0021896600181528,704,-847744.0080650797,0.8665353236671711,701,877043.5637252395,1.1535074982081044,732,-342823.9392594244,-372123.49491958425,29299.555660159793,9,-522749.8328372,-1996883.9369294243,35.0,-1.5,2000000000.0,3.0,0.0,2.0,3,0.0
2350,-277508.88099031243,0.9543452240555108,552,-346350.7752169026,0.9513997403019993,630,-608772.297100098,0.9001543264011941,577,966849.3118543196,1.168180141388102,591,-265782.6414529934,-623859.656207215,358077.01475422166,12,-701392.6456507,-2145702.6398409936,35.0,-1.5,2000000000.0,3.0,0.0,2.0,5,50.0
2313,-252267.9165949708,0.9583377179680959,547,-407424.77471090114,0.9416583723468283,620,-881983.3639789576,0.8559011651780678,567,1262150.3122763196,1.22705608767447,579,-279525.74300851044,-659692.6913058719,380166.94829736196,12,-791592.6456507,-2340995.7411135104,35.0,-1.5,2000000000.0,3.0,0.0,2.0,5,0.0
3115,-533906.8901543128,0.905788664518572,682,-25643.007023960017,0.9958740809672343,765,-239387.6478535711,0.960439934443858,821,353794.57185083994,1.0611343507629691,847,-445142.9731810044,-559549.8971782728,114406.92399726884,11,-495095.5662839998,-1912026.3043410042,35.0,-1.5,2000000000.0,3.0,0.0,3.0,2,50.0
