tot,y2,n,t,t1,t2,wy,ny,tt3,a,b,hold
-38953.65000000024,-16433.40000000033,785,-1.8477412295921154,0.7204402659000396,-2.3609308958382034,3,11,-52803.15000000011,879,896,17
-52498.950000000405,-25496.400000000474,844,-2.1852433907578757,0.2581844225100118,-2.4650387436669283,3,11,-72334.95000000054,879,897,18
-64590.15000000004,-38978.099999999904,835,-2.8673568072776603,-0.33903348933365257,-2.967331922852864,3,11,-79858.6499999999,879,898,19
-39756.75000000116,-24594.450000000426,825,-1.5953338259158791,0.7657093995336269,-2.0454493685817794,4,11,-61128.750000001135,879,899,20
-7846.199999999699,4620.000000000034,1066,-0.24260430784708661,0.6266726960800952,-0.48656690829165333,5,11,-36147.15000000002,879,900,21
39101.400000001,16626.450000000965,1189,1.146146595375366,2.4913455724601095,0.28298125743085234,8,11,10585.950000000827,879,901,22
32528.85000000011,13742.999999999929,1113,0.9533610715880292,2.3888632413540845,0.07146768828823592,8,11,-2256.5999999999185,879,902,23
49931.84999999977,27278.70000000017,1110,1.3810640383891468,1.6810929825647443,0.8251623384229223,8,11,14639.399999999558,879,903,24
26448.749999999804,-2139.1500000000287,1104,0.7673952503717539,1.956791721577028,0.003851801401966626,7,11,-5304.750000000233,879,904,25
16465.649999999307,-1083.6000000008535,1115,0.46278638133177813,1.70596653963146,-0.18494236501178668,7,11,-18445.800000000745,879,905,26
-8795.10000000038,-9276.900000000187,1110,-0.25929602478578645,1.1176743717473088,-0.763985988823057,5,11,-39481.050000000454,879,906,27
-20599.049999999123,-22399.949999999273,1092,-0.6330174931217428,1.1307862585674096,-1.218066893062103,4,11,-49519.94999999943,879,907,28
-25421.249999999713,-24263.099999999224,1105,-0.7745384128116107,0.9961179017089954,-1.3073971395073478,4,11,-53032.199999999895,879,908,29
-25758.300000000552,-16943.850000000035,1117,-0.7524214118884394,0.7931318167709829,-1.1560308180254009,4,11,-56843.70000000065,879,909,30
-33367.650000000554,-28131.44999999955,1071,-0.9932204072458896,0.924069149099943,-1.4798010326255686,4,11,-64167.60000000079,879,910,31
-16927.499999999745,-19149.899999999874,1068,-0.5101507247381931,0.8356459255098201,-0.9335593689105481,4,11,-45459.44999999984,879,911,32
-17657.550000001018,-10761.30000000104,1053,-0.5322791078360767,0.3648577776972958,-0.7550383017479638,5,11,-42733.95000000106,879,912,33
-26982.60000000089,-24035.250000000487,1024,-0.9155177358651473,0.7209540596905398,-1.4236602219151524,4,11,-44096.100000000966,879,913,34
