code,start,sig,tov5,last_flag
4098,2017-09-20,2017-10-05,6.271215,2017-10-11
4107,2024-06-18,2024-06-25,209.192356,2024-06-25
4120,2020-02-20,2020-02-27,14.4892196,2020-03-03
4124,2017-11-28,2017-11-30,45.613279,2017-12-06
4124,2023-06-01,2023-06-07,1.9905776,2023-06-12
4166,2023-04-14,2023-04-24,0.8455072,2023-04-27
4167,2025-05-13,2025-05-21,1.2298282,2025-05-26
4169,2021-10-21,2021-11-01,22.447026,2021-11-12
4169,2022-06-28,2022-07-19,12.4699778,2022-07-22
4170,2022-04-07,2022-04-19,4.3407166,2022-04-22
4170,2022-09-08,2022-09-14,33.45796,2022-09-20
4192,2022-07-15,2022-07-27,6.0792724,2022-08-08
4197,2024-01-24,2024-02-02,1.415651,2024-02-14
4199,2022-04-22,2022-04-26,48.8306966,2022-05-02
4199,2026-01-08,2026-01-27,1.0285862,2026-01-30
4222,2017-07-28,2017-08-10,0.944376,2017-08-16
4222,2017-12-04,2017-12-15,3.989954,2017-12-26
4222,2025-05-23,2025-06-05,2.6549398,2025-06-10
4235,2017-02-03,2017-02-21,1.3855566,2017-02-24
4237,2016-12-06,2016-12-14,0.7258364,2016-12-27
4240,2019-09-26,2019-10-11,2.0215696,2019-10-17
4242,2018-12-11,2019-01-17,2.08194,2019-01-22
4243,2020-09-16,2020-09-29,0.4393236,2020-10-05
4251,2019-12-27,2020-01-27,7.202042,2020-01-30
4264,2023-02-10,2023-03-09,1.6644104,2023-03-14
4268,2022-04-04,2022-04-13,15.256485,2022-04-25
4284,2018-01-09,2018-01-18,5.0776762,2018-01-23
4288,2017-02-07,2017-02-23,4.3997342,2017-02-28
4288,2017-03-09,2017-03-16,6.8839838,2017-03-28
4288,2017-05-22,2017-06-14,12.7144936,2017-08-30
4288,2024-07-17,2024-07-23,2.3160868,2024-07-26
4288,2025-04-28,2025-05-07,9.0000276,2025-05-12
4308,2016-11-01,2016-11-07,3.4208932,2016-11-10
4308,2016-11-24,2016-11-28,8.4104538,2016-11-30
4308,2016-12-06,2016-12-22,7.656151,2016-12-28
4316,2017-07-13,2017-08-02,10.7879666,2017-08-07
4316,2024-09-11,2024-09-18,4.8184076,2024-09-24
4317,2017-12-13,2018-01-05,5.7263468,2018-01-11
4334,2017-01-20,2017-02-03,3.5470714,2017-02-08
4335,2017-05-29,2017-06-09,0.2731068,2017-06-23
4337,2020-03-17,2020-03-23,3.4434008,2020-03-26
4364,2020-01-31,2020-02-05,34.8533884,2020-02-25
4366,2020-05-20,2020-06-08,0.52865508,2020-06-11
4367,2020-05-14,2020-05-25,4.4363494,2020-05-28
4371,2021-11-25,2021-12-07,6.561368,2021-12-10
4381,2018-06-06,2018-06-26,11.691652,2018-06-29
4388,2023-03-14,2023-04-04,2.1458756,2023-04-14
4393,2020-09-04,2020-09-10,32.293994,2020-09-15
4393,2022-11-01,2022-11-14,81.981756,2022-11-17
4406,2017-08-21,2017-08-24,17.321179,2017-09-07
4416,2024-12-24,2025-01-08,2.3579528,2025-01-14
4418,2025-10-29,2025-11-10,8.3564038,2025-11-13
4425,2024-03-14,2024-04-01,14.0916202,2024-04-04
4428,2019-03-25,2019-04-03,5.830646,2019-04-08
4438,2023-11-24,2023-11-30,0.7121904,2023-12-05
4444,2023-03-17,2023-04-06,2.0943182,2023-04-20
4444,2023-06-23,2023-06-27,23.9160868,2023-06-30
4446,2025-10-09,2025-10-23,12.1843554,2025-11-07
4475,2022-04-18,2022-04-20,71.4251244,2022-04-25
4490,2020-04-23,2020-05-13,1.3323086,2020-05-18
4492,2023-04-06,2023-04-14,0.41617176,2023-04-19
4492,2023-06-09,2023-06-28,1.08302946,2023-07-07
4493,2022-03-15,2022-03-22,12.0298288,2022-04-01
4556,2020-02-04,2020-02-14,9.3149838,2020-02-25
4556,2021-05-28,2021-06-04,7.9895774,2021-06-09
4557,2019-05-10,2019-05-17,2.0666978,2019-06-03
4558,2020-02-19,2020-02-26,35.5571834,2020-03-02
4563,2017-06-20,2017-07-07,55.3764888,2017-07-12
4563,2019-03-15,2019-03-22,83.0084054,2019-04-03
4563,2020-05-12,2020-06-16,415.8175302,2020-06-25
4564,2020-06-15,2020-06-29,12.0579748,2020-07-02
4571,2018-01-26,2018-02-06,14.056002,2018-02-09
4572,2016-09-08,2016-09-20,2.5245136,2016-09-26
4572,2019-07-16,2019-07-18,81.8064616,2019-07-22
4575,2022-06-15,2022-07-26,19.587327,2022-07-29
4575,2023-02-10,2023-02-28,65.734031,2023-03-03
4575,2024-09-19,2024-10-01,10.7362718,2024-10-04
4576,2017-02-14,2017-03-01,15.7852732,2017-03-06
4576,2024-12-24,2025-01-14,3.9021504,2025-01-17
4579,2017-05-23,2017-06-20,13.7504024,2017-06-23
4579,2017-12-25,2018-01-30,67.784848,2018-02-02
4579,2025-12-11,2025-12-23,8.0781,2025-12-26
4582,2018-10-24,2018-10-26,50.3593752,2018-10-31
4582,2021-02-02,2021-03-03,37.2782262,2021-03-08
4582,2021-06-10,2021-06-23,97.2805162,2021-06-28
4583,2024-12-02,2024-12-25,22.8684072,2025-01-14
4586,2017-04-21,2017-05-10,2.1179796,2017-05-15
4586,2017-10-31,2017-11-09,8.4172808,2017-11-14
4586,2018-08-31,2018-09-13,8.0345992,2018-09-19
4586,2020-04-21,2020-05-11,3.514444,2020-05-14
4586,2023-02-16,2023-02-27,5.9022476,2023-03-02
4588,2019-01-18,2019-01-29,21.9020242,2019-02-01
4588,2019-02-18,2019-03-25,128.1837688,2019-03-28
4588,2026-01-07,2026-01-28,26.7914618,2026-02-02
4591,2021-12-02,2021-12-27,18.3325272,2021-12-30
4592,2018-11-13,2018-12-12,102.082264,2018-12-17
4592,2024-07-02,2024-07-16,26.025202,2024-07-19
4594,2019-01-21,2019-01-29,3.6366146,2019-02-01
4594,2022-11-14,2022-11-30,4.7364152,2022-12-05
4594,2023-01-31,2023-02-13,5.0183932,2023-03-01
4595,2017-03-02,2017-03-16,0.99483552,2017-03-22
4596,2019-03-26,2019-04-03,21.9122936,2019-04-08
4598,2020-04-28,2020-05-15,3.6897156,2020-05-25
4598,2020-06-05,2020-06-29,7.2328094,2020-07-02
4598,2023-10-30,2023-11-17,24.1586668,2023-11-22
4599,2021-12-29,2022-01-13,5.6328948,2022-01-18
4616,2016-10-26,2016-11-24,4.731318,2016-11-29
4625,2017-08-10,2017-08-23,0.7613018,2017-09-06
4657,2019-05-07,2019-05-27,14.5003156,2019-05-30
4657,2021-04-20,2021-04-28,5.2004284,2021-05-07
4664,2018-02-08,2018-03-02,1.2549676,2018-03-07
4664,2018-03-19,2018-03-23,7.3195276,2018-04-13
4664,2025-12-12,2025-12-17,8.285389,2026-01-08
4699,2019-12-10,2019-12-19,1.98439,2020-01-09
4712,2020-05-21,2020-06-12,22.7987016,2020-06-17
4712,2020-06-26,2020-06-30,32.5642298,2020-07-02
4728,2017-06-19,2017-07-19,6.202735,2017-07-24
4736,2020-06-03,2020-06-15,1.141134,2020-06-18
4761,2024-04-08,2024-05-10,6.3873524,2024-05-15
4764,2017-10-17,2017-12-01,2.194882,2017-12-06
4764,2018-05-25,2018-06-01,12.6184976,2018-06-06
4764,2018-06-14,2018-06-20,28.5613114,2018-06-25
4764,2019-07-17,2019-07-25,2.3284764,2019-08-06
4772,2017-07-06,2017-07-19,4.6998388,2017-07-24
4772,2020-06-11,2020-06-16,1.5265714,2020-06-19
4772,2020-08-04,2020-08-27,6.6060406,2020-09-01
4784,2024-07-05,2024-07-22,0.3939316,2024-07-25
4784,2025-04-24,2025-05-16,19.8729522,2025-05-21
4814,2017-06-26,2017-07-11,4.5263318,2017-08-01
4814,2022-06-20,2022-06-30,1.2493828,2022-07-05
4814,2025-04-25,2025-05-02,7.8690162,2025-05-09
4824,2018-01-24,2018-01-31,3.0577452,2018-02-16
4833,2017-07-07,2017-07-12,3.6609482,2017-07-18
4833,2025-09-09,2025-09-18,16.8402196,2025-09-24
4833,2026-01-15,2026-01-28,2.1718186,2026-02-02
485A,2026-03-17,2026-03-25,88.556988,2026-03-30
4880,2020-06-26,2020-07-17,6.3783396,2020-08-04
4882,2023-09-26,2023-10-17,14.4293444,2023-10-20
4882,2023-11-22,2023-12-11,10.2498028,2023-12-14
4882,2024-07-29,2024-08-06,26.7233724,2024-08-14
4882,2025-03-25,2025-03-31,22.9809428,2025-04-03
4883,2024-08-19,2024-08-26,14.0229564,2024-08-29
4883,2024-11-01,2024-11-06,65.5400524,2024-11-13
4888,2026-03-30,2026-04-06,14.8641392,2026-04-09
4889,2025-01-21,2025-02-20,28.5452754,2025-03-05
4889,2025-06-10,2025-06-24,31.0001,2025-06-27
4891,2023-06-20,2023-06-26,4.9609708,2023-06-29
4892,2023-03-17,2023-03-22,83.1378272,2023-03-31
4892,2025-02-25,2025-03-17,3.9802582,2025-03-21
4894,2024-06-05,2024-07-02,37.367134,2024-07-05
4918,2021-07-09,2021-07-19,1.840497,2021-07-26
4935,2024-05-30,2024-06-13,0.2536616,2024-06-18
4935,2024-07-24,2024-08-05,7.3761296,2024-08-08
4935,2025-06-04,2025-06-19,15.8798504,2025-06-24
4935,2025-07-17,2025-08-08,15.150409,2025-08-14
