n1,n2,e1,e1_pf,e2,e2_pf,e3,e3_pf,e4,e4_pf,total,design,oos,win_years,worst_year,worst_month,ex3,pf1,avg1,gain,atr,dev,vr,rng,tov,rank,n_cand
3600,1895,8499069.299431771,1.4854946142561696,14729061.150428873,1.4477368338415721,2711427.3424802315,1.1896532559322526,4302072.8496,1.2351273570166768,30241630.641940877,23228130.449860644,7013500.192080231,25,-171814.43254728004,-754550.00024,29197963.979240876,1.385154240212273,0.7456772145175683,7.0,4.0,8.0,6.0,3.0,500000000.0,前日比のみ,10383
3600,1901,8381489.229903927,1.464171022744377,14657038.827676969,1.431248514120108,2852174.576723671,1.1922866718111147,4423993.327664001,1.2385900583910667,30314695.961968563,23038528.057580896,7276167.9043876715,24,-145229.41196992988,-601950.0,29291029.299268562,1.3526840630507724,0.7194990255098396,7.0,4.0,8.0,6.0,3.0,500000000.0,乖離×ATR×前日比,10383
2745,1222,6551634.087731128,1.6026987565942412,13320496.316386249,1.5924373970617198,1936065.067892233,1.2004827781136533,3237554.440060201,1.223480413872595,25045749.912069812,19872130.404117376,5173619.507952434,23,-505735.21125099953,-533500.0,24037149.912069812,1.4355143085179427,0.8043807739126082,7.0,4.0,8.0,6.0,3.0,1000000000.0,乖離×ATR(現行),6754
2745,1223,6597854.564898992,1.61359749161667,11602240.361266451,1.4930294370388406,1493190.0244470183,1.1530366064888702,2560737.1401939513,1.1724679524389825,22254022.09080641,18200094.926165443,4053927.1646409696,22,-732619.9762939996,-567139.9999999999,21252622.09080641,1.379608494002474,0.7171879651440368,7.0,4.0,8.0,6.0,3.0,1000000000.0,乖離のみ,6754
2745,1216,6754411.392259749,1.62705221277572,12891703.438001929,1.577900617880111,1761520.5781734555,1.1818939033008862,2982519.2023042007,1.2060309769068214,24390154.61073933,19646114.830261678,4744039.780477656,21,-830436.6455919999,-390000.0,23455354.61073933,1.4312757527733335,0.795136120146205,7.0,4.0,8.0,6.0,3.0,1000000000.0,ATRのみ,6754
2745,1214,6466409.949921658,1.6005077405609671,12567756.546478346,1.5551146430710348,1521996.6747906809,1.1546517224389299,2570733.009627201,1.1739857978573167,23126896.180817887,19034166.496400006,4092729.684417882,24,-678096.6606469998,-542219.9999999999,22098296.180817887,1.4286669903248972,0.7825081154727855,7.0,4.0,8.0,6.0,3.0,1000000000.0,前日比のみ,6754
2745,1222,6649246.080504378,1.613389393049465,13176821.488400238,1.5753606957036541,1938137.5627522373,1.1994330783649054,2736924.9155382006,1.1848115982698615,24501130.04719505,19826067.568904616,4675062.478290438,23,-534575.2167609996,-599489.9999999999,23492530.04719505,1.4504671584316822,0.8376011926808882,7.0,4.0,8.0,6.0,3.0,1000000000.0,乖離×ATR×前日比,6754
4025,2392,11370972.622936431,1.5427438032351377,11953491.690868147,1.295706195272398,5904455.837761369,1.350579644322176,7920376.820656201,1.4291605205386102,37149296.97222215,23324464.313804578,13824832.65841757,25,-12268.340528347893,-796011.113108894,36076830.30952215,1.3982446377834226,0.7913058517184338,7.0,4.0,8.0,6.0,5.0,300000000.0,乖離×ATR(現行),12624
4025,2382,10640353.147728028,1.4979037203581456,10854731.626774877,1.2640014282180783,5624316.10311893,1.3295639382435596,6345043.329379952,1.3332275974678418,33464444.207001787,21495084.774502903,11969359.432498882,24,-939825.4248989837,-1112000.0,32325377.544301786,1.354776029358103,0.7172526841481229,7.0,4.0,8.0,6.0,5.0,300000000.0,乖離のみ,12624
4025,2388,11042274.517915344,1.5248294108566502,12587953.500952821,1.3258805403566563,5284273.0824853685,1.313879925786025,7273129.994509001,1.3948855843683337,36187631.09586254,23630228.018868163,12557403.07699437,26,23261.65913365211,-491227.77705088706,35115164.43316254,1.4088619596548069,0.7863438727474616,7.0,4.0,8.0,6.0,5.0,300000000.0,ATRのみ,12624
4025,2379,10034633.519707061,1.4670466411134409,14323766.861005906,1.3759257963386964,5044509.555685601,1.299744670793693,5761623.322173001,1.2999217780690617,35164533.258571565,24358400.380712967,10806132.877858602,25,-118318.34048134788,-612716.6697220062,34075066.59587157,1.3909432655150196,0.7622680947685302,7.0,4.0,8.0,6.0,5.0,300000000.0,前日比のみ,12624
4025,2382,11244156.874431755,1.5281048286374537,13313452.316652728,1.3301007586363336,4986874.988949041,1.2834751005157654,6340913.327064001,1.3253838443611465,35885397.50709753,24557609.19108448,11327788.316013042,25,-90568.34048134791,-775205.557356451,34812930.84439753,1.37273183804915,0.7661520728837189,7.0,4.0,8.0,6.0,5.0,300000000.0,乖離×ATR×前日比,12624
3539,1829,8502403.778115947,1.491215647435095,11832110.622934306,1.3452911834740888,3493146.2369549996,1.2467568306421404,5814157.7745312005,1.3375810715445051,29641818.41253645,20334514.401050255,9307304.0114862,25,-41535.01107813955,-902400.00055,28618151.74983645,1.3631392719251882,0.7179907817983605,7.0,4.0,8.0,6.0,5.0,500000000.0,乖離×ATR(現行),9707
3539,1831,7582409.866904493,1.4301508299744976,10713308.631370401,1.3067487302272462,3164627.334925561,1.2219800252574968,3974259.997704951,1.219256573536903,25434605.830905404,18295718.498274893,7138887.332630512,22,-625300.8088524379,-826500.00022,24344339.168205403,1.3013721378785692,0.6078150779486353,7.0,4.0,8.0,6.0,5.0,500000000.0,乖離のみ,9707
3539,1825,9274188.782726377,1.5474228611917744,13064963.351014141,1.4002675980210557,3198682.0704069985,1.2273335462906938,5621510.946850001,1.3298074944865217,31159345.15099752,22339152.13374052,8820193.017257,26,42425.60856342044,-501623.3335629999,30135678.48829752,1.4004028700321105,0.765961717683955,7.0,4.0,8.0,6.0,5.0,500000000.0,ATRのみ,9707
3539,1813,8316289.118074333,1.4880761705066592,14033721.084134374,1.4289713936592903,3229098.992708231,1.2336311778618405,4265773.324280001,1.2380710269552744,29844882.51919694,22350010.202208705,7494872.316988232,25,-37836.058641579686,-776750.00024,28801215.856496938,1.3833734903704908,0.7409341709236542,7.0,4.0,8.0,6.0,5.0,500000000.0,前日比のみ,9707
3539,1820,8403926.555114154,1.4818195627594792,14308938.762079468,1.426215878557676,3149004.559201671,1.2173768002600311,4596896.660685001,1.2529236527235463,30458766.53708029,22712865.31719362,7745901.219886672,26,28041.659981652254,-686550.0,29435099.87438029,1.3626448739218562,0.7378891351641711,7.0,4.0,8.0,6.0,5.0,500000000.0,乖離×ATR×前日比,9707
2687,1162,6344839.108087478,1.6011981489265819,13221755.691125136,1.5984578430913234,2260862.834711786,1.2415565029577362,2982555.869200201,1.2071425013093688,24810013.503124602,19566594.799212612,5243418.703911986,22,-407481.8894869999,-600950.0,23801413.503124602,1.4437939347152209,0.821555467839766,7.0,4.0,8.0,6.0,5.0,1000000000.0,乖離×ATR(現行),6255
2687,1165,6490284.5803823415,1.6245686573091245,11471468.068735335,1.4967318567364698,1878156.119814571,1.1991999738551369,2195371.902001951,1.1483844651450024,22035280.6709342,17961752.64911768,4073528.021816522,23,-556373.3259819999,-535139.9999999999,21033880.6709342,1.380705299626387,0.7187729241197895,7.0,4.0,8.0,6.0,5.0,1000000000.0,乖離のみ,6255
2687,1155,6628085.793269538,1.6354465313293702,12898705.988498934,1.5896761286723764,1988978.349251009,1.2111653454585487,2695737.2966172006,1.1878684289668757,24211507.42763668,19526791.78176847,4684715.64586821,22,-755223.31957,-390000.0,23276707.42763668,1.438890513713509,0.8083816796759352,7.0,4.0,8.0,6.0,5.0,1000000000.0,ATRのみ,6255
2687,1158,6364291.010843783,1.6098366207596144,12505284.253510239,1.5609929804467835,1918986.6583166807,1.2038766213296987,2378267.7702072007,1.1629237070693903,23166829.692877904,18869575.26435402,4297254.428523881,24,-487240.0108110001,-493719.99999999994,22138229.692877904,1.4370187123829596,0.7963370359844225,7.0,4.0,8.0,6.0,5.0,1000000000.0,前日比のみ,6255
2687,1157,6567481.100225728,1.6268198887118417,13234465.862514127,1.5892756761354427,2226461.9913364584,1.237202648382987,2569109.6773462,1.174624215271796,24597518.631422516,19801946.962739855,4795571.668682659,23,-384828.56644899986,-550989.9999999999,23588918.631422516,1.4663581438590239,0.8668041394153803,7.0,4.0,8.0,6.0,5.0,1000000000.0,乖離×ATR×前日比,6255
