signal_date,entry_date,exit_date,exit_type,ticker,name,direction,entry_open,pnl_pct,win
2025-03-12,2025-03-13,2025-03-21,MAXHOLD,3092.T,ＺＯＺＯ,BUY,1487.41,-1.16,False
2025-03-19,2025-03-21,2025-03-28,RSI,4042.T,東ソー,SELL,2206.0,3.785,True
2025-03-24,2025-03-25,2025-03-28,RSI,4042.T,東ソー,SELL,2187.0,2.949,True
2025-03-25,2025-03-26,2025-03-31,RSI,2002.T,日清製粉グループ本社,SELL,1767.0,2.066,True
2025-03-25,2025-03-26,2025-03-31,TP,3861.T,王子ホールディングス,SELL,655.0,5.0,True
2025-03-27,2025-03-28,2025-04-04,MAXHOLD,2914.T,日本たばこ産業,SELL,4185.0,2.843,True
2025-04-03,2025-04-04,2025-04-07,TP,3288.T,オープンハウスグループ,SELL,6107.0,5.0,True
2025-04-03,2025-04-04,2025-04-07,STOP,4004.T,レゾナック・ホールディングス,BUY,2710.0,-3.0,False
2025-04-04,2025-04-07,2025-04-08,TP,1911.T,住友林業,BUY,1237.98,5.0,True
2025-04-04,2025-04-07,2025-04-08,TP,3086.T,Ｊ．フロント　リテイリング,BUY,1570.0,5.0,True
2025-04-04,2025-04-07,2025-04-08,TP,4005.T,住友化学,BUY,282.6,5.0,True
2025-04-04,2025-04-07,2025-04-09,STOP,4324.T,電通グループ,BUY,2894.0,-3.0,False
2025-04-07,2025-04-08,2025-04-10,TP,3086.T,Ｊ．フロント　リテイリング,BUY,1676.5,5.0,True
2025-04-07,2025-04-08,2025-04-09,STOP,4188.T,三菱ケミカルグループ,BUY,637.0,-3.0,False
2025-04-08,2025-04-09,2025-04-10,RSI,1878.T,大東建託,BUY,2988.57,2.966,True
2025-04-08,2025-04-09,2025-04-10,TP,2801.T,キッコーマン,BUY,1369.0,5.0,True
2025-04-08,2025-04-09,2025-04-10,STOP,3038.T,神戸物産,SELL,3900.0,-3.0,False
2025-04-08,2025-04-09,2025-04-10,TP,3549.T,クスリのアオキホールディングス,BUY,2986.0,5.0,True
2025-04-09,2025-04-10,2025-04-11,STOP,1928.T,積水ハウス,BUY,3253.0,-3.0,False
2025-04-09,2025-04-10,2025-04-15,TP,2802.T,味の素,BUY,2800.0,5.0,True
2025-04-09,2025-04-10,2025-04-15,TP,3626.T,ＴＩＳ,BUY,3845.0,5.0,True
2025-04-09,2025-04-10,2025-04-11,STOP,3861.T,王子ホールディングス,BUY,606.0,-3.0,False
2025-04-15,2025-04-16,2025-04-23,MAXHOLD,2670.T,エービーシー・マート,BUY,2607.0,1.534,True
2025-04-17,2025-04-18,2025-04-21,STOP,3349.T,コスモス薬品,SELL,8448.0,-3.0,False
2025-04-18,2025-04-21,2025-04-22,STOP,3349.T,コスモス薬品,SELL,8775.0,-3.0,False
2025-04-25,2025-04-28,2025-05-02,TP,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,SELL,2640.0,5.0,True
2025-05-02,2025-05-07,2025-05-14,MAXHOLD,4043.T,トクヤマ,SELL,2860.0,0.962,True
2025-05-07,2025-05-08,2025-05-13,STOP,2768.T,双日,SELL,3488.0,-3.0,False
2025-05-08,2025-05-09,2025-05-16,STOP,2127.T,日本Ｍ＆Ａセンターホールディングス,SELL,637.0,-3.0,False
2025-05-08,2025-05-09,2025-05-16,MAXHOLD,2296.T,伊藤ハム米久ホールディングス,SELL,4950.0,2.02,True
2025-05-08,2025-05-09,2025-05-13,STOP,4206.T,アイカ工業,SELL,3501.0,-3.0,False
2025-05-09,2025-05-12,2025-05-19,MAXHOLD,1878.T,大東建託,SELL,3256.45,0.459,True
2025-05-13,2025-05-14,2025-05-21,MAXHOLD,1721.T,コムシスホールディングス,SELL,3279.0,-0.671,False
2025-05-13,2025-05-14,2025-05-21,MAXHOLD,2269.T,明治ホールディングス,BUY,3206.0,-0.499,False
2025-05-13,2025-05-14,2025-05-21,MAXHOLD,3626.T,ＴＩＳ,SELL,4555.0,-0.329,False
2025-05-13,2025-05-14,2025-05-15,STOP,4091.T,日本酸素ホールディングス,SELL,4737.0,-3.0,False
2025-05-14,2025-05-15,2025-05-22,MAXHOLD,1301.T,極洋,SELL,4470.0,3.579,True
2025-05-14,2025-05-15,2025-05-22,MAXHOLD,1951.T,エクシオグループ,SELL,1809.0,0.415,True
2025-05-14,2025-05-15,2025-05-22,MAXHOLD,3088.T,マツキヨココカラ＆カンパニー,SELL,2912.0,-0.859,False
2025-05-14,2025-05-15,2025-05-22,MAXHOLD,3289.T,東急不動産ホールディングス,SELL,1050.5,0.809,True
2025-05-15,2025-05-16,2025-05-23,MAXHOLD,1333.T,マルハニチロ,BUY,986.8,-0.583,False
2025-05-15,2025-05-16,2025-05-20,STOP,4023.T,クレハ,SELL,2960.0,-3.0,False
2025-05-15,2025-05-16,2025-05-23,MAXHOLD,4188.T,三菱ケミカルグループ,SELL,757.4,0.33,True
2025-05-16,2025-05-19,2025-05-26,MAXHOLD,2270.T,雪印メグミルク,SELL,2810.0,0.996,True
2025-05-16,2025-05-19,2025-05-26,MAXHOLD,2501.T,サッポロホールディングス,BUY,1483.36,-1.009,False
2025-05-16,2025-05-19,2025-05-26,MAXHOLD,2587.T,サントリー食品インターナショナル,BUY,4770.0,-1.677,False
2025-05-16,2025-05-19,2025-05-26,MAXHOLD,4307.T,野村総合研究所,SELL,5950.0,0.555,True
2025-05-19,2025-05-20,2025-05-27,MAXHOLD,2146.T,ＵＴグループ,SELL,157.483,-1.597,False
2025-05-19,2025-05-20,2025-05-26,STOP,3197.T,すかいらーくホールディングス,SELL,3205.0,-3.0,False
2025-05-19,2025-05-20,2025-05-27,MAXHOLD,3405.T,クラレ,SELL,1815.5,1.239,True
2025-05-20,2025-05-21,2025-05-28,MAXHOLD,2002.T,日清製粉グループ本社,BUY,1725.0,0.87,True
2025-05-20,2025-05-21,2025-05-28,MAXHOLD,3291.T,飯田グループホールディングス,BUY,2061.0,-1.941,False
2025-05-20,2025-05-21,2025-05-28,STOP,4004.T,レゾナック・ホールディングス,SELL,2930.5,-3.0,False
