clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,8,30,15,買,2785,0.002726378793460907,-0.002273621206539093,1.4098397807733518,2.4318361390014784,-0.1527513018196502,7,11,False
ロンドン,8,30,15,売,2785,-0.002726378793460907,-0.007726378793460907,-1.4098397807733518,-2.4318361390014784,0.1527513018196502,4,11,False
ロンドン,8,45,15,買,2785,-0.0016533954473648875,-0.006653395447364888,-1.0211885366201983,-1.0373472491982036,-0.4780752317775796,2,11,False
ロンドン,8,45,15,売,2785,0.0016533954473648875,-0.0033466045526351126,1.0211885366201983,1.0373472491982036,0.4780752317775796,9,11,False
ロンドン,9,0,15,買,2785,0.00033980453971524426,-0.004660195460284755,0.16466964282864016,1.1132685308658663,-0.5141828568548599,7,11,False
ロンドン,9,0,15,売,2785,-0.00033980453971524426,-0.005339804539715245,-0.16466964282864016,-1.1132685308658663,0.5141828568548599,4,11,False
ロンドン,9,15,15,買,2785,-0.00029120783874998,-0.00529120783874998,-0.16865024914283752,-0.723668411836108,0.2994622415209412,5,11,False
ロンドン,9,15,15,売,2785,0.00029120783874998,-0.00470879216125002,0.16865024914283752,0.723668411836108,-0.2994622415209412,6,11,False
ロンドン,9,30,15,買,2785,0.0022326807621008316,-0.0027673192378991685,1.2462516902655774,1.6335171424780397,0.35712961680740535,9,11,False
ロンドン,9,30,15,売,2785,-0.0022326807621008316,-0.007232680762100832,-1.2462516902655774,-1.6335171424780397,-0.35712961680740535,2,11,False
ロンドン,9,45,15,買,2785,0.0006208700509734387,-0.004379129949026561,0.4098985848190303,0.722992917373356,-0.05836468243236887,7,11,False
ロンドン,9,45,15,売,2785,-0.0006208700509734387,-0.005620870050973439,-0.4098985848190303,-0.722992917373356,0.05836468243236887,4,11,False
ロンドン,10,0,15,買,2785,0.005514596771334898,0.0005145967713348978,3.5525910644164824,1.0668638622105535,3.8480595964270075,10,11,False
ロンドン,10,0,15,売,2785,-0.005514596771334898,-0.010514596771334898,-3.5525910644164824,-1.0668638622105535,-3.8480595964270075,1,11,False
ロンドン,10,15,15,買,2785,-0.009664010437133424,-0.014664010437133425,-6.252910102908105,-3.1001231655566532,-5.546099440338949,2,11,False
ロンドン,10,15,15,売,2785,0.009664010437133424,0.004664010437133424,6.252910102908105,3.1001231655566532,5.546099440338949,9,11,False
ロンドン,10,30,15,買,2785,0.0026785677765302396,-0.0023214322234697605,1.806464179093173,1.9733465124253593,0.7065256800495215,8,11,False
ロンドン,10,30,15,売,2785,-0.0026785677765302396,-0.00767856777653024,-1.806464179093173,-1.9733465124253593,-0.7065256800495215,3,11,False
ロンドン,10,45,15,買,2785,0.00028430466812736163,-0.0047156953318726385,0.18102610943505557,-1.4734283105278458,1.6925583274298337,7,11,False
ロンドン,10,45,15,売,2785,-0.00028430466812736163,-0.005284304668127362,-0.18102610943505557,1.4734283105278458,-1.6925583274298337,4,11,False
ロンドン,11,0,15,買,2785,0.0036258076363193093,-0.0013741923636806908,1.6467710404964822,1.2598417127350876,1.2358324612297076,9,11,False
ロンドン,11,0,15,売,2785,-0.0036258076363193093,-0.008625807636319309,-1.6467710404964822,-1.2598417127350876,-1.2358324612297076,2,11,False
ロンドン,11,15,15,買,2785,-0.00026351003917569703,-0.005263510039175697,-0.16306369858184178,-0.13506216117847472,-0.10619185601786787,7,11,False
ロンドン,11,15,15,売,2785,0.00026351003917569703,-0.004736489960824303,0.16306369858184178,0.13506216117847472,0.10619185601786787,4,11,False
ロンドン,11,30,15,買,2785,0.0013575154415818194,-0.0036424845584181807,0.8851950224905321,0.9565266948470973,0.3511950089856998,8,11,False
ロンドン,11,30,15,売,2785,-0.0013575154415818194,-0.006357515441581819,-0.8851950224905321,-0.9565266948470973,-0.3511950089856998,3,11,False
ロンドン,11,45,15,買,2785,-0.003019074659085811,-0.008019074659085811,-1.7643076053352174,-1.5980185644722822,-0.8863793476428548,4,11,False
