A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
GER40Cash,FRA40Cash,24,2.0,72,1035,-0.07147506773741669,-4.194732396867279,-0.05353301898222373,-0.08605494623550694,1,11,-73.97669510822627
GER40Cash,FRA40Cash,24,2.5,6,723,-0.03792941250441015,-3.07305000764231,-0.0540364303700207,-0.02542371804364126,2,11,-27.422965240688537
GER40Cash,FRA40Cash,24,2.5,24,661,-0.05830587103945474,-2.947959650282443,-0.07534388421466878,-0.04465689045767565,1,11,-38.54018075707958
GER40Cash,FRA40Cash,24,2.5,72,620,-0.07173433835019921,-3.0425387604198133,-0.06040949573869059,-0.0811215972700633,0,11,-44.47528977712351
GER40Cash,FRA40Cash,72,1.5,6,1446,-0.04353958798946919,-5.461492839271623,-0.04991258079710393,-0.038378979295427045,0,11,-62.95824423277245
GER40Cash,FRA40Cash,72,1.5,24,934,-0.06903346671367239,-3.9875757551813713,-0.09452740332568425,-0.048201845357553744,1,11,-64.47725791057
GER40Cash,FRA40Cash,72,1.5,72,684,-0.1005539908350022,-3.767504684374351,-0.1299322320006624,-0.07562218617009057,1,11,-68.7789297311415
GER40Cash,FRA40Cash,72,2.0,6,966,-0.03936982628193937,-3.9567505089629895,-0.04511107638811154,-0.034802437721638844,0,11,-38.031252188353434
GER40Cash,FRA40Cash,72,2.0,24,628,-0.055757465578333484,-2.539902275754434,-0.07501590567058719,-0.039858055734728656,3,11,-35.01568838319343
GER40Cash,FRA40Cash,72,2.0,72,502,-0.1058745694063411,-3.2219150271503882,-0.13345985933143326,-0.08140040240513151,1,11,-53.14903384198323
GER40Cash,FRA40Cash,72,2.5,6,480,-0.0553118994425045,-3.8720132031550896,-0.059466656318279916,-0.0517067991183881,1,11,-26.549711732402162
GER40Cash,FRA40Cash,72,2.5,24,366,-0.07558889867729864,-2.660032509495611,-0.08822442552954501,-0.06438626662272966,3,11,-27.6655369158913
GER40Cash,FRA40Cash,72,2.5,72,330,-0.0881882673137039,-2.170573897191601,-0.11529713958973595,-0.06358657397649566,2,11,-29.102128213522285
GER40Cash,FRA40Cash,168,1.5,6,976,-0.037487279898563305,-3.908682241482376,-0.03910636925830976,-0.03621217289363477,0,11,-36.587585180997785
GER40Cash,FRA40Cash,168,1.5,24,646,-0.049412744568729385,-2.169133736592461,-0.04762454838302613,-0.050780763508611645,3,11,-31.92063299139918
GER40Cash,FRA40Cash,168,1.5,72,440,-0.08764216201400876,-2.2889871589011634,-0.09679104681010339,-0.08029305783353927,3,11,-38.56255128616385
GER40Cash,FRA40Cash,168,2.0,6,670,-0.045286690777619154,-3.800367670073986,-0.06615845687461701,-0.029646490073080272,1,11,-30.342082821004833
GER40Cash,FRA40Cash,168,2.0,24,440,-0.07210182613151339,-2.7410446661804007,-0.08666850289912563,-0.06133515199893045,2,11,-31.724803497865892
GER40Cash,FRA40Cash,168,2.0,72,302,-0.09157263326437305,-1.8725456185481695,-0.12533442798381914,-0.06428016447919212,3,11,-27.65493524584066
GER40Cash,FRA40Cash,168,2.5,6,365,-0.05757048803799347,-3.649195034754939,-0.0744461623436209,-0.0420271038091261,0,11,-21.013228133867617
GER40Cash,FRA40Cash,168,2.5,24,246,-0.04010930247582265,-1.118023283361678,-0.0695544062693381,-0.014679440108695693,5,11,-9.866888409052372
GER40Cash,FRA40Cash,168,2.5,72,199,-0.08465780892083183,-1.429691019585295,-0.12388277263146664,-0.05227022420562874,5,11,-16.846903975245535
GER40Cash,FRA40Cash,336,1.5,6,665,-0.04572630123316658,-3.530910711802346,-0.05478546429469044,-0.039258805954707515,1,11,-30.407990320055774
GER40Cash,FRA40Cash,336,1.5,24,440,-0.06084789219467044,-2.182893480945759,-0.1145847085896112,-0.02038471172198595,1,11,-26.773072565654992
GER40Cash,FRA40Cash,336,1.5,72,302,-0.08436050319720789,-1.7078724275937942,-0.09997471247498303,-0.0720723976709114,2,11,-25.476871965556782
GER40Cash,FRA40Cash,336,2.0,6,484,-0.04060603188790691,-2.776918952822185,-0.04087174893466183,-0.040384601015611137,2,11,-19.653319433746944
GER40Cash,FRA40Cash,336,2.0,24,320,-0.07769280016484796,-2.257405240073301,-0.06622602899285732,-0.08661139996528512,1,11,-24.86169605275135
