n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost
6620,-0.0027248572823502354,-17.331967519544204,-11.392639137281881,-13.21679035954873,0.0,26,-0.6937905849676368,EURDKK.,月末2日買,0.036435809197084786
6620,-0.0026968121036389566,-17.40206218017161,-12.123447790592769,-12.52339553593191,0.0,26,-0.6866498510034573,EURDKK.,月末2日売,0.036435809197084786
6620,-0.0025845357048933926,-16.983267584798526,-11.202238816382875,-12.916716376021357,0.0,26,-0.6580625525536252,EURDKK.,月初2日買,0.036435809197084786
6620,-0.002837133681095799,-18.118250237616706,-12.686046501538465,-12.96839896200916,0.0,26,-0.7223778834174688,EURDKK.,月初2日売,0.036435809197084786
5629,-0.011884593435129513,-1.6337471789127171,-0.6379270729791063,-1.8919943621488409,0.2727272727272727,22,-3.0408352930156393,EURHKD.,MA5/20,0.0246841500279078
5629,-0.006160414069039492,-0.8492367357532574,-0.4133651477381261,-0.8702808330368814,0.4090909090909091,22,-1.5762259452101497,EURHKD.,MA10/50,0.0246841500279078
5629,-0.003033675308367346,-0.4197424147665825,0.24127051016701725,-1.029907581276809,0.45454545454545453,22,-0.776207195945445,EURHKD.,MA20/100,0.0246841500279078
5629,-0.010065035884471074,-1.4094492501746871,-0.4917117137536255,-1.6872273779309315,0.3181818181818182,22,-2.5752766815312578,EURHKD.,MA50/200,0.0246841500279078
5629,-0.007990004726567338,-1.098379965300838,0.507706321776738,-2.5480228675003285,0.3181818181818182,22,-2.0443516639021615,EURHKD.,モメ20,0.0246841500279078
5629,-0.010503169238785259,-1.4488312380725457,-0.6173943600366807,-1.6022744415061358,0.4090909090909091,22,-2.6873790747782826,EURHKD.,モメ60,0.0246841500279078
5629,-0.00024146598553284593,-0.033541092060994634,0.5500813569831863,-0.7932584519825794,0.4090909090909091,22,-0.06178236511656266,EURHKD.,モメ120,0.0246841500279078
5629,-0.015256480755100225,-2.145880771330708,-1.3107196957587872,-1.8207575751659024,0.2727272727272727,22,-3.9035786441117795,EURHKD.,モメ250,0.0246841500279078
5629,-0.007457250985710361,-1.8042624678242674,-1.4142378294692781,-1.122626748299917,0.36363636363636365,22,-1.9080393544801646,EURHKD.,逆張z1_1日,0.0246841500279078
5629,-0.01224160007183824,-2.9612757410830617,-1.5481491799743985,-2.9001328045924653,0.2727272727272727,22,-3.1321803092898843,EURHKD.,順張z1_1日,0.0246841500279078
5629,-0.011896849275290474,-1.9847619477588356,-1.6647021576604057,-1.0862545027874382,0.4090909090909091,22,-3.0439711168459125,EURHKD.,逆張z1_3日,0.0246841500279078
5629,-0.012795018320954756,-2.1344740804975997,-0.8760177971459993,-2.4117210024745415,0.2727272727272727,22,-3.2737799149388334,EURHKD.,順張z1_3日,0.0246841500279078
5629,-0.012709048202890691,-1.8962168630215295,-1.6381633084240184,-0.9738071541687465,0.4090909090909091,22,-3.25178328791235,EURHKD.,逆張z1_5日,0.0246841500279078
5629,-0.014464102242564215,-2.1577761534647806,-0.8744068391890325,-2.446331064703202,0.22727272727272727,22,-3.700837796517908,EURHKD.,順張z1_5日,0.0246841500279078
5629,-0.0017781555719617772,-0.24451558684575905,0.6481362059235128,-1.294918696500436,0.45454545454545453,22,-0.454965350662402,EURHKD.,ドンチャン20,0.0246841500279078
5629,-0.008098878533080929,-1.1199360216679903,-0.6328549469103484,-1.0270902134505826,0.36363636363636365,22,-2.0722085119414793,EURHKD.,ドンチャン55,0.0246841500279078
5629,-0.008239177110352592,-2.741686100515782,-2.566512532433764,-1.114547251345472,0.36363636363636365,22,-2.1081058160988517,EURHKD.,月曜買,0.0246841500279078
5629,-0.006017600201865461,-2.004929211809615,-0.34020244779968134,-2.9934855167999417,0.22727272727272727,22,-1.5396850698318494,EURHKD.,月曜売,0.0246841500279078
5629,-0.006856534592072208,-2.144267955439344,-1.13122265405566,-2.1280287183213624,0.36363636363636365,22,-1.7543378735806572,EURHKD.,火曜買,0.0246841500279078
5629,-0.007412904156479962,-2.317624790840454,-1.5783951435659571,-1.7897933801472221,0.22727272727272727,22,-1.8966926134920783,EURHKD.,火曜売,0.0246841500279078
5629,-0.004023447448435192,-1.2114237885684187,-0.3270486236361586,-1.6154425727160642,0.4090909090909091,22,-1.0294538948746228,EURHKD.,水曜買,0.0246841500279078
5629,-0.010220668427448738,-3.0686291814915942,-2.3077181692861894,-2.0460297013726216,0.36363636363636365,22,-2.6150973899140437,EURHKD.,水曜売,0.0246841500279078
5629,-0.00547512341940448,-1.5830519590017778,-1.1295214283241661,-1.12199457866936,0.36363636363636365,22,-1.4008849876285372,EURHKD.,木曜買,0.0246841500279078
5629,-0.00878165389281357,-2.535539281159588,-1.5040034668755684,-2.1774130683048263,0.22727272727272727,22,-2.2469058983021637,EURHKD.,木曜売,0.0246841500279078
5629,-0.01212339448836428,-3.648770888143124,-2.8135167820718294,-2.333821927272897,0.18181818181818182,22,-3.10193579886375,EURHKD.,金曜買,0.0246841500279078
5629,-0.0021207213875196534,-0.641222571505247,0.15631033083996107,-1.2970627321066615,0.36363636363636365,22,-0.5426154859249155,EURHKD.,金曜売,0.0246841500279078
5629,-0.001378077854104679,-0.658670180173196,-0.9779346965791378,0.21250390246493805,0.4090909090909091,22,-0.35260001094342,EURHKD.,月末2日買,0.0246841500279078
5629,-0.0029421305666725165,-1.3994057162785998,-0.30301718957470075,-1.9231126609080886,0.45454545454545453,22,-0.7527842254454362,EURHKD.,月末2日売,0.0246841500279078
5629,-0.002876444146757918,-1.2700856844557193,-0.4978592321835761,-1.4755371313223593,0.3181818181818182,22,-0.735977459186378,EURHKD.,月初2日買,0.0246841500279078
5629,-0.001443764274019277,-0.6392494331454641,-0.6875012229856647,-0.14133364843141916,0.5454545454545454,22,-0.369406777202478,EURHKD.,月初2日売,0.0246841500279078
5950,-0.028741972342119358,-4.014456042704245,-3.168997704285445,-2.473737121463573,0.16666666666666666,24,-7.125613976483759,EURHUF.,MA5/20,0.09055229164147273
5950,-0.026175037179818585,-3.684099729357686,-1.3189538527857139,-4.518742500486103,0.125,24,-6.489227967496693,EURHUF.,MA10/50,0.09055229164147273
5950,-0.02001573501670399,-2.830225411747313,-1.0736464760477356,-3.37324883845768,0.25,24,-4.962234306224533,EURHUF.,MA20/100,0.09055229164147273
5950,-0.012705631197672542,-1.805865925597265,-1.069341007288669,-1.6074870819613138,0.3333333333333333,24,-3.1499377344229864,EURHUF.,MA50/200,0.09055229164147273
5950,-0.03305383856932736,-4.617028874060568,-2.8180935399317124,-4.025522781853683,0.125,24,-8.194597478645742,EURHUF.,モメ20,0.09055229164147273
5950,-0.023315425206898742,-3.2822677848795236,-1.4009084394210245,-3.702659827972127,0.16666666666666666,24,-5.780282499210313,EURHUF.,モメ60,0.09055229164147273
5950,-0.02611640649668326,-3.6960209863523925,-2.2696678762134335,-3.182656498490749,0.16666666666666666,24,-6.474692443969393,EURHUF.,モメ120,0.09055229164147273
5950,-0.0278459278636286,-3.9697793691186365,-2.4537013970709878,-3.384899840910981,0.125,24,-6.903469616191259,EURHUF.,モメ250,0.09055229164147273
5950,-0.030018351020905037,-7.4113550839724995,-3.9984534958217393,-7.076047563414141,0.125,24,-7.442049523932707,EURHUF.,逆張z1_1日,0.09055229164147273
5950,-0.02651917146518398,-6.606022004228386,-4.5216469370507095,-5.020262432208213,0.08333333333333333,24,-6.574544592410195,EURHUF.,順張z1_1日,0.09055229164147273
5950,-0.02298141550601249,-3.8120319015085826,-1.4212797413718516,-4.6345457379508295,0.16666666666666666,24,-5.697475927532264,EURHUF.,逆張z1_3日,0.09055229164147273
5950,-0.03333276837499145,-5.555747017514331,-4.262310588032191,-3.6039070629815986,0.125,24,-8.263748826299965,EURHUF.,順張z1_3日,0.09055229164147273
5950,-0.019786568354588044,-2.9587047180295087,-0.6364390344399481,-4.327441048540027,0.16666666666666666,24,-4.905420071241621,EURHUF.,逆張z1_5日,0.09055229164147273
5950,-0.036049878865981766,-5.405074950268417,-4.431817767084233,-3.0970747503311786,0.125,24,-8.937365802191316,EURHUF.,順張z1_5日,0.09055229164147273
5950,-0.020089272499547606,-2.8073366353111946,-1.3557747887545268,-2.9601669107530295,0.20833333333333334,24,-4.980465473846178,EURHUF.,ドンチャン20,0.09055229164147273
5950,-0.018112703210491406,-2.5629363577864583,-1.2295381429562944,-2.6928814342745886,0.20833333333333334,24,-4.490441004267665,EURHUF.,ドンチャン55,0.09055229164147273
5950,-0.019788279181507076,-6.042951946358569,-3.7771213279947955,-5.106085764335264,0.08333333333333333,24,-4.9058442137486304,EURHUF.,月曜買,0.09055229164147273
5950,-0.021841534729875572,-6.652097907176102,-4.0311230165951955,-5.79058305454527,0.08333333333333333,24,-5.414880485114985,EURHUF.,月曜売,0.09055229164147273
5950,-0.024897235344738103,-7.534102326250166,-4.9609603318818,-6.056490226611929,0.08333333333333333,24,-6.172439595882989,EURHUF.,火曜買,0.09055229164147273
5950,-0.017013386754916947,-5.201343188412831,-2.8017868697476205,-5.066781110257959,0.08333333333333333,24,-4.217902132989826,EURHUF.,火曜売,0.09055229164147273
5950,-0.021666488296753498,-6.439799091025839,-3.845477627459056,-5.625248698880968,0.041666666666666664,24,-5.371483556903471,EURHUF.,水曜買,0.09055229164147273
5950,-0.020173931755833447,-6.007304411572839,-3.9061174991107572,-4.825034096205987,0.08333333333333333,24,-5.001453914467043,EURHUF.,水曜売,0.09055229164147273
5950,-0.021062942538968413,-6.401492075272471,-4.191118869832147,-5.254650429203566,0.08333333333333333,24,-5.221854504452586,EURHUF.,木曜買,0.09055229164147273
5950,-0.020707275466550438,-6.2963024238436,-3.4357980524279657,-6.168671445374617,0.041666666666666664,24,-5.133678709415628,EURHUF.,木曜売,0.09055229164147273
5950,-0.021346338389495966,-7.115644452922342,-3.69178955352855,-7.068810836290805,0.041666666666666664,24,-5.292113059062542,EURHUF.,金曜買,0.09055229164147273
5950,-0.020353677568954783,-6.795286393087721,-4.822379072298491,-4.963558416657225,0.0,24,-5.0460158973033735,EURHUF.,金曜売,0.09055229164147273
5950,-0.006538122030131422,-3.1827832833216894,-1.2287049706961435,-3.880134480712286,0.125,24,-1.6209094199700818,EURHUF.,月末2日買,0.09055229164147273
5950,-0.0044765896179209015,-2.1727659686297014,-1.9866008318891286,-0.9317695824449085,0.16666666666666666,24,-1.1098211761095567,EURHUF.,月末2日売,0.09055229164147273
5950,-0.008989887360046916,-3.907223595946707,-2.4064383761931625,-3.5140216582205928,0.25,24,-2.228742908011631,EURHUF.,月初2日買,0.09055229164147273
5950,-0.0020248242880054083,-0.8967897622919165,-0.436129677561975,-1.0011834698708146,0.5,24,-0.5019876880680074,EURHUF.,月初2日売,0.09055229164147273
6599,-0.018384828687268144,-2.8592908679597757,-2.197797366796031,-1.8894897061125062,0.2692307692307692,26,-4.666210942587787,EURNOK.,MA5/20,0.09077765799232365
6599,-0.018641585794841774,-2.9040522549256194,-2.4046879374563805,-1.7773600160098781,0.2692307692307692,26,-4.731377871544648,EURNOK.,MA10/50,0.09077765799232365
6599,-0.022148714947604838,-3.4600065128825013,-1.7290439954903853,-3.0603817387244634,0.15384615384615385,26,-5.621514228432473,EURNOK.,MA20/100,0.09077765799232365
6599,-0.012559504957112236,-1.9676518162622594,0.4522276936811458,-2.9157925386684522,0.3076923076923077,26,-3.1876989696916787,EURNOK.,MA50/200,0.09077765799232365
6599,-0.02150889734591463,-3.343004154168005,-2.913175631672807,-1.9239938138951989,0.38461538461538464,26,-5.459123599449639,EURNOK.,モメ20,0.09077765799232365
6599,-0.02635999647153999,-4.111420869187101,-2.506808335754905,-3.262289364749214,0.15384615384615385,26,-6.690369873680475,EURNOK.,モメ60,0.09077765799232365
6599,-0.019838788414258925,-3.1007818718731013,-1.8946199491316384,-2.456508264007569,0.34615384615384615,26,-5.035237105603641,EURNOK.,モメ120,0.09077765799232365
6599,-0.009820147544934035,-1.5401236519531474,-0.7306762426134707,-1.392078218136941,0.34615384615384615,26,-2.492428986500757,EURNOK.,モメ250,0.09077765799232365
6599,-0.024436731523911334,-6.145326398126272,-5.429111266838276,-3.4455626367395973,0.07692307692307693,26,-6.202230435626574,EURNOK.,逆張z1_1日,0.09077765799232365
6599,-0.0286467760927504,-7.197366000298548,-4.687607219921185,-5.462138061292266,0.07692307692307693,26,-7.270772132156149,EURNOK.,順張z1_1日,0.09077765799232365
6599,-0.01786083515410649,-3.2445943150312986,-3.1647655281878886,-1.5978815943586484,0.19230769230769232,26,-4.5332173531518745,EURNOK.,逆張z1_3日,0.09077765799232365
6599,-0.0333595470735714,-6.063839829201045,-4.053945416324514,-4.518273905766088,0.07692307692307693,26,-8.46690965917299,EURNOK.,順張z1_3日,0.09077765799232365
6599,-0.017052875911346372,-2.879160273496621,-3.102223826890855,-1.171582551669866,0.23076923076923078,26,-4.328151082268257,EURNOK.,逆張z1_5日,0.09077765799232365
