A,B,W,zin,H,n,mean,t,first,second,sum
US500Cash,US30Cash,168,2.0,6,946,-0.024677791561024006,-3.5385871997293683,-0.021156707503996203,-0.027831949022930676,-23.34519081672871
US500Cash,US30Cash,168,2.0,24,635,-0.05649733160053486,-3.53937304962395,-0.04898831528202068,-0.06253441006115848,-35.875805566339636
US500Cash,US30Cash,168,2.0,72,446,-0.08053491703444861,-2.9188483350998853,-0.0426235049175745,-0.11107892922577636,-35.91857299736408
US500Cash,US30Cash,168,2.5,6,504,-0.0333843409142686,-3.310886861350698,-0.03408985786112507,-0.0326205167817215,-16.825707820791372
US500Cash,US30Cash,168,2.5,24,360,-0.03150057093125928,-1.3718601913157027,-0.03400964432249084,-0.02890644420473172,-11.34020553525334
US500Cash,US30Cash,168,2.5,72,283,-0.06584169153073872,-1.856490860459497,-0.057838622738223495,-0.07401625465452215,-18.63319870319906
US500Cash,US30Cash,336,1.5,6,966,-0.030847260201913643,-4.672968283575828,-0.02846386105280101,-0.03290001438236325,-29.79845335504858
US500Cash,US30Cash,336,1.5,24,663,-0.06785968514804834,-4.2180258563491195,-0.05238946751340519,-0.0801855496049185,-44.99097125315605
US500Cash,US30Cash,336,1.5,72,452,-0.10662386739303788,-3.833233916493066,-0.08370161842541872,-0.1248161284784499,-48.19398806165312
US500Cash,US30Cash,336,2.0,6,687,-0.038752230467819636,-4.659066281378769,-0.034666177657135235,-0.04217184150991646,-26.622782331392088
US500Cash,US30Cash,336,2.0,24,461,-0.06782651233650494,-3.5420455177515207,-0.057783691282492805,-0.07559038553595278,-31.268022187128775
US500Cash,US30Cash,336,2.0,72,309,-0.1082840034767131,-3.0382114621563465,-0.0663643727045658,-0.14255946628452762,-33.45975707430435
US500Cash,US30Cash,336,2.5,6,342,-0.022886629419153308,-1.8419643064214202,-0.03385946191103216,-0.013464305866344296,-7.827227261350432
US500Cash,US30Cash,336,2.5,24,247,-0.02851348514962886,-1.0558322688913302,-0.058637442157242384,-0.004719924904484846,-7.042830831958328
US500Cash,US30Cash,336,2.5,72,178,-0.05707098903747451,-1.2405168667089908,-0.029847338794748945,-0.07929437699071988,-10.158636048670463
US100Cash,US30Cash,24,1.5,6,3365,-0.040008371095318206,-5.345652862543077,-0.039442548872634334,-0.04044782436330552,-134.62816873574576
US100Cash,US30Cash,24,1.5,24,2421,-0.06358746925210808,-4.753096118235793,-0.06421136322436714,-0.0631023710754397,-153.94526305935366
US100Cash,US30Cash,24,1.5,72,2066,-0.07304653609069628,-4.358573553020719,-0.07639534558585008,-0.07046677624824273,-150.9141435633785
US100Cash,US30Cash,24,2.0,6,2511,-0.040551741693962445,-4.666642225288653,-0.034592886376955415,-0.04526527275427685,-101.82542339353971
US100Cash,US30Cash,24,2.0,24,2010,-0.053660771301638065,-3.553593620356346,-0.04751410813987426,-0.05864455224360872,-107.85815031629251
US100Cash,US30Cash,24,2.0,72,1763,-0.059876607816649614,-3.248969087817036,-0.04964143644985551,-0.06799810696832755,-105.56245958075327
US100Cash,US30Cash,24,2.5,6,1747,-0.04823166724256873,-4.7961829770187085,-0.04451259998267118,-0.05152145705175536,-84.26072267276757
US100Cash,US30Cash,24,2.5,24,1502,-0.06443675928406566,-3.6466737380100787,-0.04803935124707289,-0.07882548483652682,-96.78401244466662
US100Cash,US30Cash,24,2.5,72,1387,-0.06815020130098144,-3.290129320990141,-0.03756037104187569,-0.09420669222929849,-94.52432920446125
US100Cash,US30Cash,72,1.5,6,2051,-0.04373633068240818,-4.321524707550404,-0.056489564519722674,-0.033544930659782306,-89.70321422961918
US100Cash,US30Cash,72,1.5,24,1343,-0.07339566246110764,-3.3403492024793056,-0.11814987775493417,-0.037903000398980854,-98.57037468526755
US100Cash,US30Cash,72,1.5,72,952,-0.08660031442508825,-2.408200824030948,-0.13622678927360715,-0.04889887050135203,-82.44349933268401
US100Cash,US30Cash,72,2.0,6,1417,-0.041234829088674346,-3.6152509898844425,-0.02880772245377342,-0.05138363284051009,-58.42975281865155
US100Cash,US30Cash,72,2.0,24,968,-0.04832140234870295,-1.8102384393013746,-0.05511355392327458,-0.04300526161354097,-46.775117473544455
US100Cash,US30Cash,72,2.0,72,749,-0.08258419708986786,-1.9779115806713903,-0.07633694678920411,-0.08753118237580014,-61.855563620311024
US100Cash,US30Cash,72,2.5,6,757,-0.05651371135827523,-3.7520215771843906,-0.054114787249710763,-0.05862095486803161,-42.78087949821435
US100Cash,US30Cash,72,2.5,24,623,-0.0385039937406362,-1.1324277529241464,-0.043430343741414315,-0.03426880329220605,-23.987988100416352
US100Cash,US30Cash,72,2.5,72,556,-0.0910030436495397,-1.817380442297816,-0.0638572069975876,-0.11416749092587215,-50.597692269144076
US100Cash,US30Cash,168,1.5,6,1366,-0.03370495225036189,-2.782918847679389,-0.03568392449342213,-0.03216403375902071,-46.04096477399434
US100Cash,US30Cash,168,1.5,24,899,-0.0888604188567411,-3.0502832527464703,-0.07953582535872798,-0.09623464917289888,-79.88551655221025
US100Cash,US30Cash,168,1.5,72,600,-0.12830180330442204,-2.474228950603834,-0.051670183280852565,-0.18974517431431112,-76.98108198265322
US100Cash,US30Cash,168,2.0,6,898,-0.03629522147109209,-2.247100905534681,-0.0454904597489971,-0.02867309931405066,-32.5931088810407
US100Cash,US30Cash,168,2.0,24,631,-0.031194696301250834,-0.857691290926788,-0.035485637140105934,-0.02779363807954466,-19.683853366089277
US100Cash,US30Cash,168,2.0,72,435,-0.08950570830346526,-1.3854291526196587,-0.022231601993606267,-0.14416591968022566,-38.93498311200739
US100Cash,US30Cash,168,2.5,6,463,-0.036020139079813975,-1.6310814825874382,-0.009472439531364635,-0.0578645060310971,-16.67732439395387
US100Cash,US30Cash,168,2.5,24,332,-0.11314689145941778,-2.25595746878111,-0.06839247817794239,-0.1504834461859525,-37.5647679645267
US100Cash,US30Cash,168,2.5,72,265,-0.15160018406341505,-1.7944045758790312,0.004161011342238706,-0.2824828552028881,-40.17404877680499
US100Cash,US30Cash,336,1.5,6,940,-0.04594641182872273,-3.1243368529949525,-0.04473499341783355,-0.046883546825825705,-43.18962711899937
US100Cash,US30Cash,336,1.5,24,656,-0.05621960443866979,-1.6530940889276395,-0.04690113502834754,-0.06324583003682721,-36.88006051176738
US100Cash,US30Cash,336,1.5,72,438,-0.10672015342970985,-1.7057542800170522,-0.050917566418136204,-0.14714407472943256,-46.743427202212914
US100Cash,US30Cash,336,2.0,6,688,-0.05138105037690326,-2.818423882726412,-0.031899793227750814,-0.06726418615286134,-35.35016265930945
US100Cash,US30Cash,336,2.0,24,469,-0.08784247819366725,-2.0616993730936812,-0.0033471455189405556,-0.15814523545818593,-41.19812227282994
US100Cash,US30Cash,336,2.0,72,323,-0.0604205839078473,-0.7455522937675941,0.044374351920713,-0.14686160442180093,-19.515848602234676
US100Cash,US30Cash,336,2.5,6,337,0.006941355028654007,0.21431020068248474,0.019446240585076078,-0.0038363363901406937,2.3392366446564004
US100Cash,US30Cash,336,2.5,24,237,0.014029436263113253,0.2077568418198533,0.004018212357774684,0.02226944363135345,3.324976394357841
US100Cash,US30Cash,336,2.5,72,175,-0.025937002934087995,-0.2216182032800683,0.13506700202853217,-0.16151932290261023,-4.538975513465399
US500Cash,US2000Cash,24,1.5,6,2921,-0.023618338029052895,-2.759993765777227,-0.020123208639602087,-0.025638753181247576,-68.9891653828635
US500Cash,US2000Cash,24,1.5,24,2154,-0.03453060862956788,-2.6084361884960034,-0.024300399935410593,-0.040527107981960526,-74.37893098808922
US500Cash,US2000Cash,24,1.5,72,1884,-0.04501392249402886,-2.8875681399328488,-0.03765574232712593,-0.04933460621461128,-84.80622997875037
US500Cash,US2000Cash,24,2.0,6,2200,-0.03149009335593707,-3.4660257044139473,-0.042687114816565536,-0.02521658487799629,-69.27820538306155
US500Cash,US2000Cash,24,2.0,24,1784,-0.04616719353181052,-3.1541426174721647,-0.04337844241360637,-0.047704644148281336,-82.36227326074997
US500Cash,US2000Cash,24,2.0,72,1598,-0.059382335671612746,-3.4738620463873793,-0.06929311540227932,-0.05393188745891831,-94.89297240323717
US500Cash,US2000Cash,24,2.5,6,1573,-0.0304065674148376,-2.839013983415223,-0.03415156735123073,-0.0284211345691817,-47.82953054353955
US500Cash,US2000Cash,24,2.5,24,1369,-0.04555817063728791,-2.6286500299226487,-0.06927032665151675,-0.03316138161983788,-62.36913560244715
US500Cash,US2000Cash,24,2.5,72,1264,-0.05877996998250228,-2.959588765322072,-0.09536105696975061,-0.03958482783599685,-74.29788205788289
US500Cash,US2000Cash,72,1.5,6,1911,-0.058193449938333856,-4.85890380912819,-0.09032618292381846,-0.03850706669153063,-111.207682832156
US500Cash,US2000Cash,72,1.5,24,1234,-0.06154279138341453,-2.795444548052867,-0.0835194163424946,-0.04834541478671664,-75.94380456713353
US500Cash,US2000Cash,72,1.5,72,892,-0.05918148602709495,-1.7956699181780462,-0.042602483619115124,-0.06939319040882164,-52.7898855361687
US500Cash,US2000Cash,72,2.0,6,1285,-0.016664799814284214,-1.1270573160215016,-0.023423935467493488,-0.01266124734559273,-21.414267761355216
