n,win,pf,tot,a,b,e3,e4,wy,worst,dd,y10,n10,pf10,win10,worst10,dd10,wy10,hold,tp,stop,rsith,kind,lab,beat4,beat4dd,rank26,rank10
1162,48.62306368330464,1.0363065958871975,47.83468774925456,-54.790829318912536,102.6255170681671,41.34060007049992,98.6901666772,14,-37.72755776680003,-110.41669610790407,140.03076674769991,561,1.249803546355486,52.584670231729056,-7.245999989700026,-33.16766674600004,8,2,,,,grid,H2 TP∞ ST∞ RSI∞ grid,False,False,450.0,424.0
1068,48.59550561797753,1.2089351937976174,263.968417130645,-6.920616640082057,270.8890337707271,108.86250642271605,133.189216719448,18,-36.96172381517722,-84.59852103223821,242.05172314216406,502,1.4614472893479236,52.98804780876494,2.7526732955820217,-24.440106636884018,10,3,3.0,2.0,50.0,grid,H3 TP3.0 ST2.0 RSI50 grid,False,False,82.0,133.0
1060,48.113207547169814,1.1972163978514334,249.77755347516626,-7.474873663419861,257.2524271385861,106.98323979057504,123.03187671944802,18,-26.927323815177218,-78.90962103223816,230.0151165100231,497,1.4343518501973804,52.31388329979879,0.0350733564580245,-29.507046636883985,10,3,3.0,2.0,55.0,grid,H3 TP3.0 ST2.0 RSI55 grid,False,False,93.0,157.0
1060,48.113207547169814,1.1972163978514334,249.77755347516626,-7.474873663419861,257.2524271385861,106.98323979057504,123.03187671944802,18,-26.927323815177218,-78.90962103223816,230.0151165100231,497,1.4343518501973804,52.31388329979879,0.0350733564580245,-29.507046636883985,10,3,3.0,2.0,60.0,grid,H3 TP3.0 ST2.0 RSI60 grid,False,False,93.0,157.0
1060,48.113207547169814,1.1972163978514334,249.77755347516626,-7.474873663419861,257.2524271385861,106.98323979057504,123.03187671944802,18,-26.927323815177218,-78.90962103223816,230.0151165100231,497,1.4343518501973804,52.31388329979879,0.0350733564580245,-29.507046636883985,10,3,3.0,2.0,,grid,H3 TP3.0 ST2.0 RSI∞ grid,False,False,93.0,157.0
1017,52.31071779744346,1.2575758028729322,320.61077096962686,16.407342445799667,304.2034285238272,118.75424297945209,165.06226333036003,18,-39.73515746422203,-74.01880161202592,283.81650630981215,481,1.555925841370697,56.96465696465697,-0.21614005609999004,-21.807900000000046,9,3,3.0,3.0,50.0,grid,H3 TP3.0 ST3.0 RSI50 grid,False,False,15.0,32.0
1009,51.83349851337958,1.2445383782724464,304.8474872735891,12.787285422461895,292.0602018511272,114.63404298035209,158.63923665676003,18,-31.404757464222016,-71.21546831172596,273.2732796371121,476,1.5345117115150242,56.30252100840336,-10.3506399909,-28.05691000699997,9,3,3.0,3.0,55.0,grid,H3 TP3.0 ST3.0 RSI55 grid,False,False,33.0,65.0
1009,51.83349851337958,1.2445383782724464,304.8474872735891,12.787285422461895,292.0602018511272,114.63404298035209,158.63923665676003,18,-31.404757464222016,-71.21546831172596,273.2732796371121,476,1.5345117115150242,56.30252100840336,-10.3506399909,-28.05691000699997,9,3,3.0,3.0,60.0,grid,H3 TP3.0 ST3.0 RSI60 grid,False,False,33.0,65.0
1009,51.83349851337958,1.2445383782724464,304.8474872735891,12.787285422461895,292.0602018511272,114.63404298035209,158.63923665676003,18,-31.404757464222016,-71.21546831172596,273.2732796371121,476,1.5345117115150242,56.30252100840336,-10.3506399909,-28.05691000699997,9,3,3.0,3.0,,grid,H3 TP3.0 ST3.0 RSI∞ grid,False,False,33.0,65.0
1003,53.040877367896314,1.2369246662756546,294.7070959507712,16.295329054034717,278.41176689673654,107.2941329784322,155.78727001638418,18,-39.86097430900005,-81.661810891804,263.08140299481636,475,1.5173420826974242,57.05263157894736,-4.173400056099961,-29.731000006999984,9,3,3.0,4.0,50.0,grid,H3 TP3.0 ST4.0 RSI50 grid,False,False,45.0,81.0
995,52.663316582914575,1.224931552278407,280.33517225473344,11.191272030696894,269.14390022403654,104.77343297933218,150.6401033427842,18,-31.53057430900004,-78.85847759150401,255.41353632211639,470,1.5024887349335636,56.59574468085107,-12.70839999089996,-34.89170000699994,9,3,3.0,4.0,55.0,grid,H3 TP3.0 ST4.0 RSI55 grid,False,False,62.0,101.0
995,52.663316582914575,1.224931552278407,280.33517225473344,11.191272030696894,269.14390022403654,104.77343297933218,150.6401033427842,18,-31.53057430900004,-78.85847759150401,255.41353632211639,470,1.5024887349335636,56.59574468085107,-12.70839999089996,-34.89170000699994,9,3,3.0,4.0,60.0,grid,H3 TP3.0 ST4.0 RSI60 grid,False,False,62.0,101.0
995,52.663316582914575,1.224931552278407,280.33517225473344,11.191272030696894,269.14390022403654,104.77343297933218,150.6401033427842,18,-31.53057430900004,-78.85847759150401,255.41353632211639,470,1.5024887349335636,56.59574468085107,-12.70839999089996,-34.89170000699994,9,3,3.0,4.0,,grid,H3 TP3.0 ST4.0 RSI∞ grid,False,False,62.0,101.0
999,53.35335335335335,1.2398046319059652,295.05642877348873,17.483715121616186,277.5727136518725,95.61233302043217,168.3857433531202,18,-37.55217421940003,-74.84289079611392,263.99807637355235,474,1.5215145961218828,57.383966244725734,-9.940600014099973,-35.318100007000005,9,3,3.0,6.0,50.0,grid,H3 TP3.0 ST6.0 RSI50 grid,False,False,44.0,80.0
990,52.92929292929293,1.2299464947827066,282.9205050774509,14.61565809827838,268.30484697917257,93.09163302133219,163.23857667952018,17,-29.22177421940002,-75.48768551702365,256.3302097008524,469,1.5065952922615602,56.929637526652456,-18.475599948899973,-40.47880000699998,8,3,3.0,6.0,55.0,grid,H3 TP3.0 ST6.0 RSI55 grid,False,False,58.0,97.0
990,52.92929292929293,1.2299464947827066,282.9205050774509,14.61565809827838,268.30484697917257,93.09163302133219,163.23857667952018,17,-29.22177421940002,-75.48768551702365,256.3302097008524,469,1.5065952922615602,56.929637526652456,-18.475599948899973,-40.47880000699998,8,3,3.0,6.0,60.0,grid,H3 TP3.0 ST6.0 RSI60 grid,False,False,58.0,97.0
990,52.92929292929293,1.2299464947827066,282.9205050774509,14.61565809827838,268.30484697917257,93.09163302133219,163.23857667952018,17,-29.22177421940002,-75.48768551702365,256.3302097008524,469,1.5065952922615602,56.929637526652456,-18.475599948899973,-40.47880000699998,8,3,3.0,6.0,,grid,H3 TP3.0 ST6.0 RSI∞ grid,False,False,58.0,97.0
